TFNAME,TLNAME,TADDRESS,TPHONENUMBER,ISHEAD,EMAIL,FACULTY_ID
Akeem,Collins,343-7350 Lorem St.,(698) 406-8830,1,akeem.collins@skylineacademy.com,1
Camden,Taylor,"P.O. Box 422, 8397 Magnis Ave",(111) 884-5417,1,camden.taylor@skylineacademy.com,2
Katelyn,Livingston,7770 Quisque St.,(222) 185-1283,1,katelyn.livingston@skylineacademy.com,3
Fitzgerald,Hayes,451-6147 Phasellus Avenue,(433) 751-8451,1,fitzgerald.hayes@skylineacademy.com,4
Indigo,Good,987-1013 Nisi Rd.,1-472-376-7752,1,indigo.good@skylineacademy.com,5
Elizabeth,Woodard,Ap #937-4688 Tempor Ave,(662) 580-7779,0,elizabeth.woodard@skylineacademy.com,1
Flavia,Blair,Ap #732-9885 Auctor Rd.,1-721-248-0465,0,flavia.blair@skylineacademy.com,2
Montana,Huff,904-9272 Dolor St.,(789) 332-3756,0,montana.huff@skylineacademy.com,3
Kameko,Stanton,"7723 Non, Avenue",(891) 942-7386,0,kameko.stanton@skylineacademy.com,4
Dahlia,King,861-242 Vestibulum Av.,(985) 544-1227,0,dahlia.king@skylineacademy.com,5
Ali,Carroll,"Ap #846-4632 Purus, Ave",1-347-760-0383,0,ali.carroll@skylineacademy.com,1
Shana,Ratliff,9105 Praesent Ave,1-221-451-8663,0,shana.ratliff@skylineacademy.com,2
Shafira,Erickson,943-1742 Sociis Rd.,1-598-982-6788,0,shafira.erickson@skylineacademy.com,3
Kay,Barr,"353 Lorem, Avenue",(455) 764-4045,0,kay.barr@skylineacademy.com,4
Cora,Briggs,Ap #351-4252 Etiam St.,1-881-474-1952,0,cora.briggs@skylineacademy.com,5
Cooper,Ramsey,Ap #666-6765 Consectetuer Rd.,1-403-601-8449,0,cooper.ramsey@skylineacademy.com,1
Reuben,Stark,"P.O. Box 795, 5834 Convallis Avenue",1-625-628-8786,0,reuben.stark@skylineacademy.com,2
Kareem,O'brien,Ap #184-3033 Accumsan Rd.,1-332-339-7364,0,kareem.obrien@skylineacademy.com,3
Driscoll,Sutton,"P.O. Box 624, 7389 Lacinia Ave",1-554-697-6666,0,driscoll.sutton@skylineacademy.com,4
Brooke,Flynn,"P.O. Box 501, 4936 In Av.",1-213-374-5836,0,brooke.flynn@skylineacademy.com,5
Cole,Noble,443-5153 Et St.,1-321-558-4133,0,cole.noble@skylineacademy.com,1
Ginger,O'donnell,908-1461 Pretium Avenue,1-212-744-8069,0,ginger.odonnell@skylineacademy.com,2
Tara,Petty,Ap #383-7055 Luctus Rd.,1-757-633-5032,0,tara.petty@skylineacademy.com,3
Adrienne,Sosa,"824-8142 A, Rd.",(218) 291-2059,0,adrienne.sosa@skylineacademy.com,4
Gail,Sweet,Ap #137-8223 Et Rd.,(613) 506-7108,0,gail.sweet@skylineacademy.com,5
Rebecca,Holder,"357-5426 Amet, Street",(238) 504-2827,0,rebecca.holder@skylineacademy.com,1
Kane,Patrick,355-2365 Eleifend Rd.,1-465-148-3185,0,kane.patrick@skylineacademy.com,2
Nora,Holder,"P.O. Box 974, 4257 Enim St.",(223) 523-1744,0,nora.holder@skylineacademy.com,3
Liberty,Schmidt,Ap #715-7074 Et Rd.,(889) 345-1738,0,liberty.schmidt@skylineacademy.com,4
Rina,Jefferson,"P.O. Box 240, 3883 Pellentesque Street",1-327-386-8775,0,rina.jefferson@skylineacademy.com,5
Vivien,Morse,6130 Aliquam Street,1-524-852-2876,0,vivien.morse@skylineacademy.com,1
Travis,Pope,8500 Convallis Ave,(416) 557-7114,0,travis.pope@skylineacademy.com,2
Phillip,Wyatt,Ap #207-2950 Donec Av.,1-317-367-3595,0,phillip.wyatt@skylineacademy.com,3
Galena,Solis,740-7924 Facilisi. Avenue,1-756-977-5606,0,galena.solis@skylineacademy.com,4
Hunter,Velez,769 Et St.,(351) 251-8166,0,hunter.velez@skylineacademy.com,5
Quintessa,Emerson,668-2056 Euismod Av.,(473) 368-9218,0,quintessa.emerson@skylineacademy.com,1
Nichole,Small,Ap #732-1899 Donec Ave,(532) 246-4375,0,nichole.small@skylineacademy.com,2
Freya,Whitney,"P.O. Box 774, 5339 Torquent St.",(785) 663-3653,0,freya.whitney@skylineacademy.com,3
Burton,Sosa,906-1080 Natoque Ave,1-436-272-6552,0,burton.sosa@skylineacademy.com,4
Caldwell,Rutledge,"160-1310 Orci, Street",(366) 971-5407,0,caldwell.rutledge@skylineacademy.com,5
